"location","year","multiplier_type","sna1_aic","sna1_changes_in_inventories","sna1_domestic_demand","sna1_exports","sna1_final_consumption","sna1_gdp","sna1_gov_consumption_all","sna1_gov_consumption_col","sna1_gov_consumption_ind","sna1_gross_capital_formation","sna1_gross_fixed_capital_formation","sna1_hh_consumption","sna1_imports","sna1_net_exports"
"GRC",1977,"AIC_CONSTANT_PER_CAPITA",12633.876201,770.617683073586,20662.0663717167,2657.07260945319,14248.7013691965,19005.9318083718,2933.14250309922,NA,NA,6413.36500252023,5660.78877179495,11311.1605270058,3930.68435102285,-1214.1836193861
"GRC",1977,"AIC_CURRENT_PER_CAPITA",3636.847876,221.833682656506,5947.88099884983,764.877597526462,4101.69915280782,5471.13820247872,844.348394165631,NA,NA,1846.18184604201,1629.54166192934,3256.08463176805,1131.50554950921,-349.52068921562
"GRC",1977,"CURRENT_LCU_MILLIONS",2599.5399,158.5619,4251.4162,546.7179,2931.8055,3910.6508,603.5219,NA,NA,1319.6107,1164.761,2327.3786,808.7756,-249.8298
"GRC",1977,"GDP_CONSTANT_PER_CAPITA",13917.6473185656,848.922766048589,22761.6091893941,2927.06679168373,15696.560362713,20937.189162,3231.18908589579,NA,NA,7065.04882668103,6236.00076629708,12460.5260075358,4330.09455275578,-1337.56094533028
"GRC",1977,"GDP_CURRENT_PER_CAPITA",4213.04819087344,256.979677802389,6890.2275091296,886.060206082286,4751.54770956498,6337.95245,978.121878009066,NA,NA,2138.67979956462,1887.71644699508,3771.95910715106,1310.7744868246,-404.896646101209
"GRC",1978,"AIC_CONSTANT_PER_CAPITA",13456.852079,-499.595432416811,21767.4878715331,2760.71102855516,15138.5905946888,20220.9432591319,3078.41860798656,NA,NA,6628.89685313199,6705.74386934677,12047.97415523,3939.82117874116,-1082.57110195539
"GRC",1978,"AIC_CURRENT_PER_CAPITA",4140.437907,-153.716772273262,6697.47511486029,849.422474572685,4657.87942000332,6221.63040017807,947.175537287238,NA,NA,2039.59556448809,2063.24004665283,3706.95082341854,1212.21403486465,-333.088184461335
"GRC",1978,"CURRENT_LCU_MILLIONS",3175.9404,-117.9091,5137.3266,651.5531,3572.8461,4772.3279,726.535,NA,NA,1564.4804,1582.617,2843.4323,929.8339,-255.4967
"GRC",1978,"GDP_CONSTANT_PER_CAPITA",14749.7779933383,-547.596248466857,23858.8944645409,3025.95841404057,16593.0968916686,22163.758815,3374.19113859633,NA,NA,7265.79710844989,7350.02753782255,13205.5359615966,4318.35672850787,-1186.58385498373
"GRC",1978,"GDP_CURRENT_PER_CAPITA",4779.00072609278,-177.423881919493,7730.39933355669,980.425431783292,5376.2451291963,7181.167033,1093.25454990648,NA,NA,2354.15405388524,2381.44512791448,4278.65870099315,1399.16885192357,-384.459014033862
"GRC",1979,"AIC_CONSTANT_PER_CAPITA",14052.736607,-1470.220758786,22761.5773402345,3238.385561995,15912.3646287558,21341.9818860827,3338.45414535781,NA,NA,6849.21235110503,7557.73885977196,12581.4714850817,4344.89262518383,-926.512266565109
"GRC",1979,"AIC_CURRENT_PER_CAPITA",4708.106928,-492.570004954182,7625.84135494187,1084.96059709602,5331.14056319743,7150.23241274335,1118.48670690519,NA,NA,2294.70067100794,2532.07924412264,4215.18702868459,1455.67512165953,-310.410629835565
"GRC",1979,"CURRENT_LCU_MILLIONS",3899.4895,-407.9711,6316.103,898.6186,4415.5171,5922.1799,926.3866,NA,NA,1900.5858,2097.1946,3491.2286,1205.6629,-257.0976
"GRC",1979,"GDP_CONSTANT_PER_CAPITA",14886.6010989635,-1557.46105371109,24112.2090111966,3430.54562355125,16856.5761526867,22608.377278,3536.55209935174,NA,NA,7255.63247675226,8006.2016930935,13328.0337114622,4602.71085538749,-981.489862891253
"GRC",1979,"GDP_CURRENT_PER_CAPITA",5223.50444103236,-546.491753000709,8460.64390493109,1203.73147508008,5914.74170690915,7932.969946,1240.92769559012,NA,NA,2545.9020640684,2809.26652240225,4676.62449065684,1615.02820113709,-344.391350554672
"GRC",1980,"AIC_CONSTANT_PER_CAPITA",13977.644066,-380.165474996692,22097.5434981799,4002.31526480751,15756.9381426437,20711.546442808,3236.40016663885,NA,NA,6340.60535553626,6349.68076162747,12514.2409516513,5232.09833865003,-974.087469264447
"GRC",1980,"AIC_CURRENT_PER_CAPITA",5183.714995,-140.987241055538,8195.04109872217,1484.28887979527,5843.57965760418,7681.03361040492,1200.24347410838,NA,NA,2351.46144111798,2354.82712409135,4641.00088439881,1940.36323183727,-361.247703620536
"GRC",1980,"CURRENT_LCU_MILLIONS",4797.9293,-130.4946,7585.1446,1373.8242,5408.6851,7109.3909,1110.9182,NA,NA,2176.4595,2179.5747,4295.6054,1795.9563,-334.3627
"GRC",1980,"GDP_CONSTANT_PER_CAPITA",15209.8075580151,-413.677990911654,24045.495973798,4355.12913884414,17145.9507569033,22537.31989,3521.69675253375,NA,NA,6899.54521689466,6909.42064221715,13617.4018819265,5693.32059678429,-1059.9556607844
"GRC",1980,"GDP_CURRENT_PER_CAPITA",5818.99930502068,-158.265772425815,9199.37506288001,1666.19421945642,6559.73293269988,8622.37397,1347.33795133972,NA,NA,2639.64213018013,2643.42029061175,5209.77348233186,2178.1622462731,-405.520006083632
"GRC",1981,"AIC_CONSTANT_PER_CAPITA",13759.319444,-1180.4607462504,20708.2731667852,4269.67481141223,15713.8475589505,19961.5796336257,3428.72528319544,NA,NA,4994.42560783477,5582.55160020325,12318.7740750174,5140.2807939041,-491.331278745355
"GRC",1981,"AIC_CURRENT_PER_CAPITA",5562.130029,-477.194834490035,8371.20676633017,1725.99281376353,6352.23738604892,8069.35996786385,1386.04354208588,NA,NA,2018.96938028124,2256.71611305404,4979.79740073554,2077.93054573884,-198.617996392853
"GRC",1981,"CURRENT_LCU_MILLIONS",5866.9218,-503.344,8829.9294,1820.5732,6700.3252,8511.5421,1461.9955,NA,NA,2129.6042,2380.3789,5252.6787,2191.7963,-209.5018
"GRC",1981,"GDP_CONSTANT_PER_CAPITA",15158.1752178525,-1300.47353739311,22813.6016754931,4703.75582004969,17311.4125022414,21990.994754,3777.31026800321,NA,NA,5502.18917325174,6150.10761709471,13571.175279289,5662.87288118291,-541.282993213833
"GRC",1981,"GDP_CURRENT_PER_CAPITA",6347.98005334288,-544.615691310189,9553.9394616826,1969.85109964319,7249.71836517587,9209.445995,1581.87182111019,NA,NA,2304.22109650673,2575.55806804827,5683.37209032154,2371.51263774996,-226.679900103565
"GRC",1982,"AIC_CONSTANT_PER_CAPITA",14136.995236,1042.91337277457,22337.1506170164,3546.56104720524,16198.4607650605,20608.6340982282,3586.58675845037,NA,NA,6138.69004446773,5217.01619183296,12656.9088755635,5078.46812594403,-1412.02842469583
"GRC",1982,"AIC_CURRENT_PER_CAPITA",6037.098251,445.368368144357,9538.91337382023,1514.53241213694,6917.43171169863,8800.76330174358,1531.62509324202,NA,NA,2621.48174433234,2227.8878079374,5405.03842295635,2168.72189097312,-602.996194791493
"GRC",1982,"CURRENT_LCU_MILLIONS",7343.4425,541.7399,11603.0018,1842.2562,8414.2679,10705.1263,1863.0475,NA,NA,3188.734,2709.9718,6574.6137,2638.0032,-733.4762
"GRC",1982,"GDP_CONSTANT_PER_CAPITA",14821.3976628731,1093.40305827207,23418.5402501392,3718.25771592731,16982.6631839016,21606.342519,3760.22115817229,NA,NA,6435.87726806931,5469.5831965692,13269.6571298098,5324.32772002121,-1480.38776588134
"GRC",1982,"GDP_CURRENT_PER_CAPITA",6590.42266647374,486.188176225689,10413.1932757498,1653.34541911805,7551.44224114813,9607.388771,1672.00471341843,NA,NA,2861.7511243474,2432.08271546004,5900.43200471561,2367.49400346095,-658.263229241466
"GRC",1983,"AIC_CONSTANT_PER_CAPITA",14349.870708,131.769301701731,22346.0940617842,3374.43890478047,16479.7893011109,20480.7643742066,3685.34837916271,NA,NA,5866.30476067323,5555.86110731196,12847.4970543034,5058.62691262633,-1624.81563107901
"GRC",1983,"AIC_CURRENT_PER_CAPITA",6388.294858,58.6612360231323,9948.0643899945,1502.23727744295,7336.49489918528,9117.65439577879,1640.6483779271,NA,NA,2611.56949080922,2473.36576515747,5719.46612204811,2252.00637358043,-723.33762111413
"GRC",1983,"CURRENT_LCU_MILLIONS",8949.011,82.1753,13935.6964,2104.4016,10277.2923,12772.4207,2298.2941,NA,NA,3658.4041,3464.8021,8012.0856,3154.7119,-1013.2839
"GRC",1983,"GDP_CONSTANT_PER_CAPITA",14888.5129586805,136.715444749532,23184.8856191637,3501.10313775098,17098.3809930167,21249.538201,3823.68302941062,NA,NA,6086.50462614695,5764.40804074478,13329.7456312946,5248.50947261699,-1685.80533379301
"GRC",1983,"GDP_CURRENT_PER_CAPITA",6879.56612319582,63.1723896689202,10713.0882794291,1617.7620026346,7900.68443823136,9818.818276,1766.81716353917,NA,NA,2812.40384119772,2663.57200261992,6159.30326489766,2425.18967913691,-778.963573921156
"GRC",1984,"AIC_CONSTANT_PER_CAPITA",14333.422137,2168.36706964109,23012.2576773424,3570.19733522718,16678.6494584309,21249.9584346481,3941.61473977414,NA,NA,6333.60835268504,4662.3307636957,12832.770551741,5120.7138083613,-1431.86603611677
"GRC",1984,"AIC_CURRENT_PER_CAPITA",6632.567717,1003.37806891087,10648.563609386,1652.05317771401,7717.78511117663,9833.0870990965,1823.92079337371,NA,NA,2930.77856011103,2157.42090156122,5938.16458258308,2369.53051188388,-662.573693528613
"GRC",1984,"CURRENT_LCU_MILLIONS",10714.6919,1620.9238,17202.3993,2668.8368,12467.8244,15885.0242,2946.4832,NA,NA,4734.575,3485.2415,9592.9068,3827.8975,-1070.3657
"GRC",1984,"GDP_CONSTANT_PER_CAPITA",14548.9876868273,2200.97793082463,23358.3473921063,3623.89083174213,16929.4857351078,21569.54429,4000.8941177528,NA,NA,6428.86179278384,4732.44925214505,13025.7672564605,5197.72608617306,-1453.40039032782
"GRC",1984,"GDP_CURRENT_PER_CAPITA",6965.21671326829,1053.70137079671,11182.6303762103,1734.91005227556,8104.86196891711,10326.254556,1915.39749547108,NA,NA,3077.76847229944,2265.62392760694,6235.98656832914,2488.37165758149,-695.804334135741
